price_ref,mid,bid,ask,inventory,cash,equity,reason
115246.24,115269.32,,,0.0,0.0,0.0,risk_block
115246.25,115246.245,,,0.0,0.0,0.0,risk_block
115278.41,115262.33,,,0.0,0.0,0.0,risk_block
115292.39,115285.405,,,0.0,0.0,0.0,risk_block
115292.39,115292.39499999999,,,0.0,0.0,0.0,risk_block
115292.4,115292.39499999999,,,0.0,0.0,0.0,risk_block
115292.39,115292.39499999999,,,0.0,0.0,0.0,risk_block
115306.02,115299.205,,,0.0,0.0,0.0,risk_block
115306.01,115306.015,,,0.0,0.0,0.0,risk_block
115306.02,115306.015,,,0.0,0.0,0.0,risk_block
115306.02,115306.015,,,0.0,0.0,0.0,risk_block
115306.02,115306.015,,,0.0,0.0,0.0,risk_block
115306.0,115306.005,,,0.0,0.0,0.0,risk_block
115306.0,115306.005,,,0.0,0.0,0.0,risk_block
115273.29,115289.64499999999,,,0.0,0.0,0.0,risk_block
115273.28,115273.285,,,0.0,0.0,0.0,risk_block
115244.7,115258.995,,,0.0,0.0,0.0,risk_block
115244.7,115244.705,,,0.0,0.0,0.0,risk_block
115244.71,115244.705,,,0.0,0.0,0.0,risk_block
115244.7,115244.705,,,0.0,0.0,0.0,risk_block
115254.17,115249.44,,,0.0,0.0,0.0,risk_block
115254.18,115254.17499999999,,,0.0,0.0,0.0,risk_block
115254.17,115254.17499999999,,,0.0,0.0,0.0,risk_block
115254.17,115254.17499999999,,,0.0,0.0,0.0,risk_block
115254.18,115254.17499999999,,,0.0,0.0,0.0,risk_block
115254.17,115254.17499999999,,,0.0,0.0,0.0,risk_block
115254.17,115254.17499999999,,,0.0,0.0,0.0,risk_block
115254.18,115254.17499999999,,,0.0,0.0,0.0,risk_block
115280.7,115267.44,,,0.0,0.0,0.0,risk_block
115306.0,115293.355,,,0.0,0.0,0.0,risk_block
115300.01,115303.005,,,0.0,0.0,0.0,risk_block
115300.01,115300.005,,,0.0,0.0,0.0,risk_block
115309.77,115304.89,,,0.0,0.0,0.0,risk_block
115314.35,115315.815,,,0.0,0.0,0.0,risk_block
115343.89,115329.12,,,0.0,0.0,0.0,risk_block
115343.9,115343.89499999999,,,0.0,0.0,0.0,risk_block
115343.89,115343.89499999999,,,0.0,0.0,0.0,risk_block
115384.0,115371.36499999999,,,0.0,0.0,0.0,risk_block
